metric,value
average_alignment_r2,0.8594623935222626
standard_error_alignment_r2,0.00708091145532676
average_alignment_normalized_mse,0.14053760934621096
standard_error_alignment_normalized_mse,0.007080911347299719
average_alignment_mse,0.1434392549842596
standard_error_alignment_mse,0.007592522867149486
average_alignment_shuffled_r2,-0.021558449184522033
standard_error_alignment_shuffled_r2,0.0011395702170470358
average_alignment_neural_predictivity,0.9285313802957534
standard_error_alignment_neural_predictivity,0.003224878025372159
average_alignment_blind_neural_predictivity,0.9134180760383606
standard_error_alignment_blind_neural_predictivity,0.0033856694825678277
average_alignment_ps_np_gain,0.015113305510603824
standard_error_alignment_ps_np_gain,0.001210287977567967
average_alignment_shuffled_neural_predictivity,0.0032169896306004377
standard_error_alignment_shuffled_neural_predictivity,0.00013344785641445243
num_ego_agents,5
num_partner_agents,20
num_alignment_pairs,100
ego_hidden_dim,512
partner_hidden_dim,256
train_episodes,89
test_episodes,39
alignment_eval_num_episodes,128
alignment_eval_num_steps,400
ridge_lambda,0.001
train_fraction,0.7
